Item_ID	Sentence	ModalPresent	Finite	QuestionType	DegreeQ
3:43	uh, first, um, i need *-1 to know, uh, how do you feel *t*-2 about, uh, about * sending, uh, an elderly, uh, family member to a nursing home?	no	yes	emb	no
17:77	and, uh, we were, i was fortunate in that i was personally acquainted with the, uh, people who, uh, *t*-1 ran the nursing home in our little hometown.	no	yes	rc	no
21:45	so, i was very comfortable, you know, in *-1 doing it when it got to the point that we had *-2 to do it *t*-3 *t*-4.	no	yes	emb	no
23:31	well, i had an occasion for my mother-in-law who *t*-1 had fell and needed * to be, you know, could not take care of herself anymore, was confined *-2 to a nursing home for a while	no	yes	rc	no
96:22	i mean, for somebody who *t*-1 is, you know, for most of their life has, has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.	no	yes	rc	no
178:54	and, uh, fortunately, we agreed, you know, on exactly, you know, what we thought 0 *t*-1 should be done *-2.	no	yes	nom	yes
184:104	we were lucky in, that in one respect in that after she had her stroke she wasn't really, you know, really much aware of what *t*-1 was going on.	no	yes	nom	no
214:17	and i think that when she passed away *t*-1 it was probably one of the greatest,	no	yes	emb	no
225:95	i mean, i, i, i di-, i don't know how i would, how i would deal *t*-1 if one of my parents came with, with alzheimer's. or something like, that which *t*-2 is, which *t*-3 is far more devastating.	no	yes	emb	no
225:194	i mean, i, i, i di-, i don't know how i would, how i would deal *t*-1 if one of my parents came with, with alzheimer's. or something like, that which *t*-2 is, which *t*-3 is far more devastating.	no	yes	rc	no
257:120	i think, i think, i think, 0 you know for myself i, i see that as probably the, the, what everything would hinge upon *t*-1.	no	yes	nom	no
262:4	how close is it *t*-1 to a home environment.	no	yes	root	yes
291:192	but, i guess 0 as we become more industrialized and more, you know, less in a rural situation we, we don't, we, we, we choose *-1 not to deal with the, extended family because we feel 0 it's kind of cumbersome, when in reality it makes things much much easier *t*-2.	no	yes	emb	no
331:188	but, uh, i, i, i think that, you know, we always, uh, i mean, i've, i've had a lot of good experiences with, uh, with many many people especially where they've had, uh, extended family *t*-1.	no	yes	rc	no
337:84	money seems *-1 to be too big of an issue. with, with, with, with what *t*-2's going on today	no	yes	nom	no
394:4	what did you wear *t*-1 to work today?	no	yes	root	no
397:4	what did i wear *t*-1 to work today?	no	yes	root	no
416:58	so i tend *-1 to get up in the morning, put on, sweats, um, do whatever i want *-2 to do *t*-3 with the kids,	no	yes	nom	no
417:8	then whenever i have a meeting with a client *t*-4, i'll put a suit on. and then come home and get back into regular clothes again.	no	yes	adj	no
429:52	um, you know, there's real no, no real dress code where i work *t*-1.	no	yes	adj	no
477:54	it *exp*-2's nice 0 you can wear shorts, especially on a day like today when it's so hot *t*-1.	no	yes	adj	no
491:10	um, where i work *t*-1 is predominantly male.	no	yes	subj	no
630:19	i'm not sure exactly where dances with wolves was filmed *-1 *t*-2.	no	yes	emb	no
668:74	and i, i, i tend *-1 to, i think 0 *t*-3, overreact occasionally when somebody tells me 0 it's that great *t*-2.	no	yes	emb	no
676:51	and, and, and i guess 0 that's what i really like *t*-1.	no	yes	nom	no
719:13	do you know who he is *t*-1?	no	yes	emb	no
749:26	i was listening sunday night a little bit when, i was going *-1 to pick up my daughter *t*-2.	no	yes	emb	no
755:60	the, the difficulty with, with dancing with wolves is that when you make a movie like that *t*-2, and you produce it *t*-2, and then you star in it *t*-2, uh, the question is, did he, did he really know 0 it was going *-1 to be good	no	yes	emb	no
770:13	do you know who the guy *ich*-3 was *t*-2 that *t*-1 was playing the, uh, the, the wagon driver?	no	yes	emb	no
775:21	you know, the guy when he first headed out from the army post *t*-1.	no	yes	rc	no
780:16	i don't know who that guy is *t*-1.	no	yes	emb	no
830:16	i don't know how long this conversation is supposed *-1 to go *t*-2	no	yes	emb	yes
839:10	is that what, it does *t*-1?	no	yes	nom	no
844:4	why do we end this thing *t*-1?	no	yes	root	no
850:17	but it says 0 when the conversation is over *t*-1 * just say your good-byes and hang up.	no	yes	emb	no
853:4	why don't we do that *t*-1?	no	yes	root	no
861:80	well, the first thing for me is i wonder, i see a couple of different ways of * talking about what privacy is *t*-1,	no	yes	emb	no
865:34	but in the second time, at least overtly, uh, where someone comes in and, uh, finds out information about you that *t*-1 should be private *t*-2, uh, does not seem, uh, um, obviously, everyday.	no	yes	nom	no
868:55	i think 0 in a good example on the typical thing that *t*-1 happens, uh, when the phone rang *t*-2 and it's t i 0 *t*-3 calling, my immediate reaction is that it's some sort of strange phone message	no	yes	emb	no
885:97	uh, and at the same time i think that i receive on, on the order of, uh, probably, seven or eight a week calls of the nature where one wishes that there were a convenient way 0 *-2 to just hang up on it *t*-1 *t*-3.	no	yes	rc	no
896:66	um, because i'm usually so insulted by them 0 i just hang up as soon as i recognize what, they are *t*-1.	no	yes	nom	no
901:45	i find people being kind of polite and waiting for it to finish what it has *t*-1 0 *-3 to say *t*-2,	no	yes	nom	no
904:24	and i think 0 that's what *t*-1 makes one feel invaded is the fact that there seems *-2 to be little control	no	yes	nom	no
926:17	well, presumably those who *t*-1 find out such information, if they are doing it, i would prefer *-2 to not to be known *-3,	no	yes	rc	no
927:66	and, i mean, you know, the classic, oh, i don't know c i a conspiracy theories or whatever, would have such parties *-1 trying *-2 to do it without your knowledge.	no	yes		no
928:47	so there's,, things that *t*-1 invade that second type of privacy where you do know about them *t*-2 and possibly things that *t*-3 invade that second type of privacy without you knowing about it,	no	yes	rc	no
937:61	well, i guess, 0 although, i, well, that's a good point where you said that how does one define what invasion of privacy is *t*-1 *t*-3 *t*-2, because, uh, if that's the case of a tree falling in the forest	no	yes	rc	no
937:75	well, i guess, 0 although, i, well, that's a good point where you said that how does one define what invasion of privacy is *t*-1 *t*-3 *t*-2, because, uh, if that's the case of a tree falling in the forest	no	yes	rc	no
