workerid,proliferate.condition,Browser,OS,screenH,screenW,error
38,condition1,Firefox,Linux,768,1366,
34,condition1,Chrome,Mac,900,1440,
33,condition1,Chrome,Windows,864,1536,
17,condition1,Chrome,Windows,864,1536,
12,condition1,Safari,iPhone/iPod,736,414,
7,condition1,Chrome,Windows,864,1536,
15,condition1,Chrome,Windows,864,1536,
11,condition1,Chrome,Mac,900,1600,
3,condition1,Firefox,Mac,1080,1920,
27,condition1,Chrome,Linux,786,393,
6,condition1,Safari,iPhone/iPod,667,375,
9,condition1,Chrome,Windows,1440,2560,
19,condition1,Firefox,Windows,663,1366,
8,condition1,Chrome,Windows,768,1366,
25,condition1,Chrome,Windows,1080,1920,
10,condition1,Chrome,Windows,900,1440,
18,condition1,Chrome,Windows,1080,1920,
5,condition1,Firefox,Linux,740,360,
14,condition1,Chrome,Linux,768,1366,
24,condition1,Chrome,Windows,720,1280,
29,condition1,Safari,Mac,800,1280,
13,condition1,Chrome,Linux,765,353,
16,condition1,Safari,Mac,900,1440,
32,condition1,Chrome,Windows,1003,1504,
20,condition1,Chrome,Windows,864,1536,
28,condition1,Chrome,Mac,800,1280,
41,condition1,Chrome,Mac,900,1440,
40,condition1,Chrome,Windows,912,1368,
30,condition1,Chrome,Mac,1050,1680,
39,condition1,Chrome,Windows,912,1368,
31,condition1,Chrome,Mac,1120,1792,
36,condition1,Chrome,Linux,640,360,
