workerid,proliferate.condition,order,paraphrase,rating,response,slide_number_in_experiment,tgrep_id,catch_trials,subject_information.age,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
77,01_pilot_e02,,,,"['patricia', 'Patricia']",1,bot_check,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,the,0.47,,4,example1,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,all,0.46,,4,example1,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,a,0.07000000000000006,,4,example1,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,other,0,,4,example1,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,the,0.2899999999999998,,4,example1,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,all,0.64,,4,example1,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,a,0.07000000000000006,,4,example1,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,other,0,,4,example1,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,the,0.42,,5,example2,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,all,0.42,,5,example2,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,a,0.15999999999999992,,5,example2,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,other,"{'context': {'location': {'hash': '', 'host': 'mcmoyer11.github.io', 'href': 'https://mcmoyer11.github.io/whquestions-tgrep2/experiments/02_experiment/01_pilot/index.html?participant_id=7f817114-74bd-48c4-b0de-232f737d533a&experiment_id=52137c6b-3936-4599-aa46-9d7b2a790010', 'port': '', 'origin': 'https://mcmoyer11.github.io', 'search': '?participant_id=7f817114-74bd-48c4-b0de-232f737d533a&experiment_id=52137c6b-3936-4599-aa46-9d7b2a790010', 'hostname': 'mcmoyer11.github.io', 'pathname': '/whquestions-tgrep2/experiments/02_experiment/01_pilot/index.html', 'protocol': 'https:'}, 'jQuery111105529106236225084': 1}, 'selector': '#slider_4'}",,5,example2,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,the,0.40000000000000013,,6,example3,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,all,0.6,,6,example3,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,a,1.1102230246251563e-16,,6,example3,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,other,0,,6,example3,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,the,0.62,,7,example4,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,all,0.38,,7,example4,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,a,0,,7,example4,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,other,"{'context': {'location': {'hash': '', 'host': 'mcmoyer11.github.io', 'href': 'https://mcmoyer11.github.io/whquestions-tgrep2/experiments/02_experiment/01_pilot/index.html?participant_id=7f817114-74bd-48c4-b0de-232f737d533a&experiment_id=52137c6b-3936-4599-aa46-9d7b2a790010', 'port': '', 'origin': 'https://mcmoyer11.github.io', 'search': '?participant_id=7f817114-74bd-48c4-b0de-232f737d533a&experiment_id=52137c6b-3936-4599-aa46-9d7b2a790010', 'hostname': 'mcmoyer11.github.io', 'pathname': '/whquestions-tgrep2/experiments/02_experiment/01_pilot/index.html', 'protocol': 'https:'}, 'jQuery111105529106236225084': 1}, 'selector': '#slider_4'}",,7,example4,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,the,0.46,,9,control,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,all,0.35,,9,control,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,a,0.18999999999999995,,9,control,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,other,0,,9,control,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,the,0.33,,10,control,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,all,0.59,,10,control,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,a,0.08000000000000007,,10,control,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,other,0,,10,control,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,the,0.31999999999999995,,11,118088:9,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,all,0.68,,11,118088:9,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,a,0,,11,118088:9,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,other,0,,11,118088:9,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,the,0.41,,12,control,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,all,0,,12,control,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,a,0.51,,12,control,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,other,0.08000000000000007,,12,control,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,the,0.3599999999999999,,13,60430:4,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,all,0.64,,13,60430:4,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
