workerid,proliferate.condition,order,paraphrase,rating,response,slide_number_in_experiment,tgrep_id,catch_trials,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
120,01_pilot_e02,,,,"['linda', 'Linda']",1,bot_check,[],Firefox,Mac,990,1760,0.9441333333333334,
120,01_pilot_e02,all-the-a,all,0.8,,4,example1,[],Firefox,Mac,990,1760,0.9441333333333334,
120,01_pilot_e02,all-the-a,the,0.20000000000000007,,4,example1,[],Firefox,Mac,990,1760,0.9441333333333334,
120,01_pilot_e02,all-the-a,a,0,,4,example1,[],Firefox,Mac,990,1760,0.9441333333333334,
120,01_pilot_e02,all-the-a,other,0,,4,example1,[],Firefox,Mac,990,1760,0.9441333333333334,
120,01_pilot_e02,all-the-a,all,0.10999999999999988,,5,example2,[],Firefox,Mac,990,1760,0.9441333333333334,
120,01_pilot_e02,all-the-a,the,0.89,,5,example2,[],Firefox,Mac,990,1760,0.9441333333333334,
120,01_pilot_e02,all-the-a,a,0,,5,example2,[],Firefox,Mac,990,1760,0.9441333333333334,
120,01_pilot_e02,all-the-a,other,0,,5,example2,[],Firefox,Mac,990,1760,0.9441333333333334,
120,01_pilot_e02,all-the-a,all,0.83,,6,example3,[],Firefox,Mac,990,1760,0.9441333333333334,
120,01_pilot_e02,all-the-a,the,0.17000000000000004,,6,example3,[],Firefox,Mac,990,1760,0.9441333333333334,
120,01_pilot_e02,all-the-a,a,0,,6,example3,[],Firefox,Mac,990,1760,0.9441333333333334,
120,01_pilot_e02,all-the-a,other,0,,6,example3,[],Firefox,Mac,990,1760,0.9441333333333334,
120,01_pilot_e02,all-the-a,all,0.13,,7,example4,[],Firefox,Mac,990,1760,0.9441333333333334,
120,01_pilot_e02,all-the-a,the,0.87,,7,example4,[],Firefox,Mac,990,1760,0.9441333333333334,
120,01_pilot_e02,all-the-a,a,0,,7,example4,[],Firefox,Mac,990,1760,0.9441333333333334,
120,01_pilot_e02,all-the-a,other,0,,7,example4,[],Firefox,Mac,990,1760,0.9441333333333334,
120,01_pilot_e02,all-the-a,all,0,,9,61578:4,[],Firefox,Mac,990,1760,0.9441333333333334,
120,01_pilot_e02,all-the-a,the,0,,9,61578:4,[],Firefox,Mac,990,1760,0.9441333333333334,
120,01_pilot_e02,all-the-a,a,0.62,,9,61578:4,[],Firefox,Mac,990,1760,0.9441333333333334,
120,01_pilot_e02,all-the-a,other,0.3800000000000001,,9,61578:4,[],Firefox,Mac,990,1760,0.9441333333333334,
120,01_pilot_e02,all-the-a,all,0,,10,control,[],Firefox,Mac,990,1760,0.9441333333333334,
120,01_pilot_e02,all-the-a,the,0,,10,control,[],Firefox,Mac,990,1760,0.9441333333333334,
120,01_pilot_e02,all-the-a,a,0.98,,10,control,[],Firefox,Mac,990,1760,0.9441333333333334,
120,01_pilot_e02,all-the-a,other,0.02000000000000013,,10,control,[],Firefox,Mac,990,1760,0.9441333333333334,
120,01_pilot_e02,all-the-a,all,0.65,,11,40349:14,[],Firefox,Mac,990,1760,0.9441333333333334,
120,01_pilot_e02,all-the-a,the,0.35,,11,40349:14,[],Firefox,Mac,990,1760,0.9441333333333334,
120,01_pilot_e02,all-the-a,a,0,,11,40349:14,[],Firefox,Mac,990,1760,0.9441333333333334,
120,01_pilot_e02,all-the-a,other,0,,11,40349:14,[],Firefox,Mac,990,1760,0.9441333333333334,
