,TGrepID,EntireSentence,PreceedingContext,BestResponse,AResponse,SomeResponse,AllResponse,TheResponse
7769,137049:4,where's that *t*-1?,"###so you have probably a lot of green, and lot of real pretty things.### our, our climate's real dry###speakerb60.###where is that *t*-1?###speakera61.###and you have *-1 to kind of get up into the mountains *-2 to get much of the greenery.### most of, most, most of the land's pretty brown.###you don't have as much of the greenery like you have *?*.###speakerb62.###oh,",,What is a way?,What are some of the ways?,What are all of the ways?,What is the way?
9997,174870:4,where do you work *t*-1?,"###and i went through a, a pretty, i don't know, i went through a, standard drug testing thing before i, i was brought *-1 on.###speakerb4.###uh-huh.###speakera5.###i think 0 that's pretty standard.###at least at honeywell it is *?*.###uh, i think 0 it's important * to insure the quality and, and, uh, i don't know, almost the goodness of character. you know that kind of thing.###speakerb6.###yeah.###speakera7.",,What is a way?,What are some of the ways?,What are all of the ways?,What is the way?
3118,54662:4,who's your favorite actress or actor *t*-1?,"###you see it for, uh, you know a couple of hours or an hour###and it really,###there's a lot in it when you look at the scenery and the cars, and all the different stuff like that *t*-1, you know.###speakera80.###oh, yeah,###oh.###speakerb81.###speakera82.###yeah.###speakerb83.",,What is a way?,What are some of the ways?,What are all of the ways?,What is the way?
1311,22805:4,"how do you feel about them *t*-1, i mean, since you've kind of been close to that.","###and i,###speakera1.###all right.###well, on this subject, i really hadn't had *-1 to deal with *-2 putting someone in there yet,###but my mother's always been administrator of a nursing home###speakerb2.###uh-huh.###speakera3.###so i've always been involved, you know, in one.###speakerb4.",,What is a way?,What are some of the ways?,What are all of the ways?,What is the way?
10007,175042:4,how do you feel about public schools *t*-1?,"### they don't, they don't really do that.###so.###speakerb66.###wow.###is it *exp*-1 formal policy that they said 0 they might test?###speakera67.###yeah.###speakera1.###okay,###i'm here.",,What is a way?,What are some of the ways?,What are all of the ways?,What is the way?
8348,149860:4,where do you go *t*-1?,"### i, i agree totally.###speakera53.###speakerb54.###um, i mean, this, this, it just seems so, you know, so ridiculous that it was allowed *-1 to happen.###um, i, i'm in college right now,###and.###speakera55.###so am *t*-1 i.###speakerb56.###oh really,",,What is a way?,What are some of the ways?,What are all of the ways?,What is the way?
6892,119975:9,"well, how's it going *t*-1?","###and then you iron that on the t shirt,###and you paint around it.###speakera9.###oh, i see.###speakerb10.###so, it's real fun.###i started *-1 doing it as a, um, just something fun 0 * to do *t*-2,###and now i'm selling them###and pretty,###speakera11.",,What is a way?,What are some of the ways?,What are all of the ways?,What is the way?
9953,174186:4,how you doing *t*-1?,"###but, uh, boy, i, i feel for you and your husband.###speakerb117.###oh, why is that *t*-1?###speakera118.###well, my, my, uh, two of my, uh,###speakera1.###i'm nevin from sunnyvale, california.###speakerb2.###hi,###this is jim bliss from minneapolis, minnesota.",,What is a way?,What are some of the ways?,What are all of the ways?,What is the way?
4421,77454:4,who would they ask *t*-1?,"###speakerb77.###right.###speakera78.###and it was, uh,###you just felt, gee, if i weren't here, how,###speakerb79.###uh-huh###speakera80.### or, or if my husband,###speakerb81.",,What is a way?,What are some of the ways?,What are all of the ways?,What is the way?
6230,107918:7,well how do you dress for work *t*-1?,"###why don't you start *t*-1###so you probably have a job 0 you need *-1 to get to *t*-2 pretty soon.###speakerb2.###i'm already on my job###speakera3.###oh, you are *?*,###speakerb4.###so, you, you reached me at my job.###speakera5.###oh, wonderful,",,What is a way?,What are some of the ways?,What are all of the ways?,What is the way?
